wloborgname,wloborgid,wregorgname,wregorgid,wbrnorgname,wbrnorgid
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","ATL1 (6208)","wbrn357002241"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","GTR1 (6208)","wbrn357002228"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","GTR2 (6208)","wbrn357002234"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","GTR3 (6208)","wbrn357002231"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","GTR4 (6208)","wbrn357002232"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","ONE1 (6208)","wbrn357002238"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","ONE2 (6208)","wbrn357002235"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","PAC1 (6208)","wbrn357002237"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","PAC2 (6208)","wbrn357002236"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","PAC3 (6208)","wbrn357002229"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","PRA1 (6208)","wbrn357002227"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","PRA2 (6208)","wbrn357002239"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","PRA3 (6208)","wbrn357002230"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","QUE1 (6208)","wbrn357002233"
"TDWDI","wlob2","Direct Investing - Account Management","wreg356000273","WOR (6208)","wbrn357002240"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area","wreg356000283","GTA1 (9157)","wbrn357002123"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area","wreg356000283","GTA2 (9157)","wbrn357002128"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area","wreg356000283","GTA3 (9157)","wbrn357002122"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area","wreg356000283","GTA5 (9157)","wbrn357002125"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area","wreg356000283","GTA7 (9157)","wbrn357002130"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area","wreg356000283","NORTHYORK1 (9157)","wbrn357002126"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area","wreg356000283","TORONTO1 (9157)","wbrn357002129"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area","wreg356000283","TORONTO2 (9157)","wbrn357002124"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area","wreg356000283","TORONTO3 (9157)","wbrn357002127"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area and Western Ontario","wreg356000285","GTA4 (9157)","wbrn357002175"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area and Western Ontario","wreg356000285","GTA6 (9157)","wbrn357002169"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area and Western Ontario","wreg356000285","LONDON (9157)","wbrn357002170"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area and Western Ontario","wreg356000285","ONE (9157)","wbrn357002173"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area and Western Ontario","wreg356000285","ONE2 (9157)","wbrn357002171"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area and Western Ontario","wreg356000285","SWON (9157)","wbrn357002174"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area and Western Ontario","wreg356000285","SWON2 (9157)","wbrn357002172"
"TDWDI","wlob2","Direct Investing - Greater Toronto Area and Western Ontario","wreg356000285","TORONTOWEST (9157)","wbrn357002168"
